module-id,name,fabric,system,all components,headrail,tube,bottomrail,side-channel,accesories,remote-channel
M1P1,Motorized Roller Shade,Rollux® Giants Onix ,VTi® Celtic Ultra Quiet Motor,Cassette 100 Flat y EuroSlim Satin Anodized,Cassette 100 Flat Satin Anodized,"2"" (50 mm) Aluminum Tube",Euro Slim Satin Anodized,no-side-channel,VTi® Smart Hub <br> VTi® Wave RF Emitter,"Remote 1, Channel 6"
M1P1,Motorized Roller Shade,Rollux® Dakar Blackout Slate,VTi® Celtic Ultra Quiet Motor,Cassette 100 Flat y EuroSlim Negro,Cassette 100 Flat Black,"2"" (50 mm) Aluminum Tube",Euro Slim Black,no-side-channel,VTi® Smart Hub <br> VTi® Wave RF Emitter,"Remote 1, Channel 5"
M1P2,Motorized Neolux Shade,Neolux® Dinasty Charcoal,VTi® Celtic Ultra Quiet Motor,"Cassette 100 Flat y NEOX BR Bronze
(Cambiar tapas BR NEOX)",Cassette 100 Flat Bronze,"2"" (50 mm) Aluminum Tube",Neolux® Neox Bronze,no-side-channel,VTi® Smart Hub <br> VTi® Wave RF Emitter,"Remote 1, Channel 4"
M1P2,Motorized Roller Shade,Polyscreen® Vision 310 Calico White Chocolate,VTi® Celtic Ultra Quiet Motor,Cassette 100 Round Wrapped y DECO Wrapped (Ivory),Cassette 100 Round Wrapped,"2"" (50 mm) Aluminum Tube",Deco Wrapped,no-side-channel,VTi® Smart Hub <br> VTi® Wave RF Emitter,"Remote 1, Channel 3"
M1P3,Motorized Roller Shade,Rollux® Mod Nacar ,VTi® Celtic Ultra Quiet Motor,Cassette 100 Round Wrapped y DECO BR Wrapped (Ivory),Cassette 100 Round Wrapped,"2"" (50 mm) Aluminum Tube",Deco Wrapped,no-side-channel,VTi® Smart Hub <br> VTi® Wave RF Emitter,"Remote 1, Channel 2"
M1P3,Motorized Roller Shade,Rollux® Touareg Stone,VTi® Celtic Ultra Quiet Motor,"Cassette 100 Round, Classic BR Ivory",Cassette 100 Round Ivory,"2"" (50 mm) Aluminum Tube",Classic Ivory,no-side-channel,VTi® Smart Hub <br> VTi® Wave RF Emitter,"Remote 1, Channel 1"
M2P1,Motorized Dual Roller Shade,"Front: Rollux® Density MT Petrol <br>
Back: Polyscreen® Vision DC Spicy Orange",VTi® Celtic Ultra Quiet Motor,"6"" Fascia White
Flat Weight Anodized in Pocket","6"" Engineered Fascia White","2"" (50 mm) Aluminum Tube",Flat Hem Bar,no-side-channel,VTi® Smart Hub <br> VTi® Celtic Neo RF Emitter,"Remote 2, Channel 13+14"
M2P1,Motorized Dual Roller Shade,"Front: Rollux® Density MT Ochre  <br>
Back: Polyscreen® Vision 310 Silken Golden Ebony",VTi® Celtic Rechargeable Battery Motor | 1.2Nm,"Euro Dual Small Bracket Black
20mm Aluminum BR Tube (Tapas Negras)",Small Euro Dual Bracket Black,"1 ½"" (38 mm) Aluminum Tube",20mm Aluminum Tube,no-side-channel,VTi® Smart Hub <br> VTi® Celtic Neo RF Emitter,"Remote 2, Channel 11+12"
M2P2,Motorized Roller Shade,Rollux® Carolina White,VTi® Celtic Ultra Quiet Motor,"4"" Eng Eco & Eco Fascia White 
Reverse Roller
EuroSlim White","4"" Engineered Eco Fascia + 4"" Eco Fascia White","2"" (50 mm) Aluminum Tube",Euro Slim White,no-side-channel,VTi® Smart Hub <br> VTi® Celtic Neo RF Emitter,"Remote 2, Channel 10"
M2P2,Motorized Roller Shade,Rollux® Formentera Silver,VTi® Celtic Rechargeable Battery Motor | 1.2Nm,"Euro Medium Bracket White
Slim BR White
(Cambiar a Euro Small)",Medium Euro Brackets White,"1 ½"" (38 mm) Aluminum Tube",Slim White,no-side-channel,VTi® Smart Hub <br> VTi® Celtic Neo RF Emitter,"Remote 2, Channel 9"
